,Airport.Code,Airport.Name,Time.Label,Time.Month,Time.Month Name,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Carriers.Names,Statistics.Carriers.Total,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Diverted,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Security,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather,Time.Datetime,Proportions.Flights.On Time,Proportions.Flights.Cancelled or Diverted,Proportions.Flights.Security Delays,Statistics.# of Delays.Total,Time.Season
901,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2006/01,1,January,2006,372,631,352,3,49,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",15,102,1411,21,7336,8870,17229,34195,13562,121,69353,4242,2006-01-01,0.8270574971815107,0.0138669673055242,0.0003382187147688,1407,Winter
902,CLT,"Charlotte, NC: Charlotte Douglas International",2006/01,1,January,2006,501,546,744,1,67,"American Airlines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",11,186,1862,19,7980,10047,25148,31355,23832,52,85478,5091,2006-01-01,0.794266945356823,0.020404100726585,9.953219866626854e-05,1859,Winter
903,DCA,"Washington, DC: Ronald Reagan Washington National",2006/01,1,January,2006,430,398,569,2,77,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",15,260,1473,79,6785,8597,20473,24239,20934,25,71150,5479,2006-01-01,0.7892288007444458,0.0394323601256252,0.0002326392927765,1476,Winter
904,DEN,"Denver, CO: Denver International",2006/01,1,January,2006,1155,909,816,4,75,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Northwest Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",16,214,2958,9,14790,17971,51783,57858,25430,174,140028,4783,2006-01-01,0.8229925991875799,0.012408880974904,0.0002225808246619,2959,Winter
905,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2006/01,1,January,2006,754,1454,1287,6,219,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",15,182,3719,22,21242,25165,53207,74763,37981,448,175158,8759,2006-01-01,0.844108881382873,0.0081064971190145,0.0002384263858533,3720,Winter
906,DTW,"Detroit, MI: Detroit Metro Wayne County",2006/01,1,January,2006,562,502,562,8,93,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",15,170,1729,10,8041,9950,34572,28082,16322,234,85008,5798,2006-01-01,0.8081407035175879,0.0180904522613065,0.0008040201005025,1727,Winter
907,EWR,"Newark, NJ: Newark Liberty International",2006/01,1,January,2006,340,625,2796,5,148,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",13,362,3914,33,8304,12613,21936,46145,192530,393,273094,12090,2006-01-01,0.6583683501149608,0.0313168952667882,0.0003964163957821,3914,Winter
908,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2006/01,1,January,2006,358,433,369,5,39,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,27,1202,10,4884,6123,15735,28541,12261,153,59760,3070,2006-01-01,0.7976482116609506,0.0060427894822799,0.000816593173281,1204,Winter
909,IAD,"Washington, DC: Washington Dulles International",2006/01,1,January,2006,439,577,395,4,46,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",13,237,1458,27,5195,6917,27700,43858,15582,204,91215,3871,2006-01-01,0.7510481422582044,0.0381668353332369,0.0005782853838369,1461,Winter
910,IAH,"Houston, TX: George Bush Intercontinental/Houston",2006/01,1,January,2006,505,797,1340,6,93,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",12,94,2742,129,14561,17526,32904,46139,48070,163,134377,7101,2006-01-01,0.8308227775875842,0.0127239529841378,0.0003423485107839,2741,Winter
911,JFK,"New York, NY: John F. Kennedy International",2006/01,1,January,2006,555,669,990,7,88,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",12,106,2311,40,5781,8238,31597,40211,46852,393,126282,7229,2006-01-01,0.7017479970866716,0.017722748239864,0.0008497208060208,2309,Winter
912,LAS,"Las Vegas, NV: McCarran International",2006/01,1,January,2006,778,1050,896,7,85,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",15,115,2812,10,12039,14976,35476,55394,32948,209,131307,7280,2006-01-01,0.803886217948718,0.008346688034188,0.0004674145299145,2816,Winter
913,LAX,"Los Angeles, CA: Los Angeles International",2006/01,1,January,2006,1234,1010,1031,8,111,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",18,279,3393,22,15392,19086,58128,58651,34119,223,158029,6908,2006-01-01,0.8064549931887247,0.0157707219951797,0.0004191554018652,3394,Winter
914,LGA,"New York, NY: LaGuardia",2006/01,1,January,2006,414,542,2217,3,178,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",15,446,3353,31,7027,10857,22129,41178,122821,75,197850,11647,2006-01-01,0.6472322004236898,0.0439347886156396,0.0002763194252555,3354,Winter
915,MCO,"Orlando, FL: Orlando International",2006/01,1,January,2006,551,629,509,4,53,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",16,70,1748,29,8248,10095,26675,38896,17234,111,86298,3382,2006-01-01,0.8170381376919267,0.0098068350668647,0.0003962357602773,1746,Winter
916,MDW,"Chicago, IL: Chicago Midway International",2006/01,1,January,2006,301,497,317,2,50,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",12,121,1167,16,6926,8230,13658,26904,11796,55,55679,3266,2006-01-01,0.8415552855407047,0.0166464155528554,0.0002430133657351,1167,Winter
917,MIA,"Miami, FL: Miami International",2006/01,1,January,2006,347,339,526,2,50,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",11,35,1265,6,4622,5928,20226,23986,16144,85,63793,3352,2006-01-01,0.779689608636977,0.0069163292847503,0.0003373819163292,1264,Winter
918,MSP,"Minneapolis, MN: Minneapolis-St Paul International",2006/01,1,January,2006,595,401,558,7,74,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",14,95,1635,16,8144,9890,36313,22447,16741,261,80896,5134,2006-01-01,0.8234580384226491,0.0112234580384226,0.0007077856420626,1635,Winter
919,ORD,"Chicago, IL: Chicago O'Hare International",2006/01,1,January,2006,1308,1849,3820,9,188,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",12,1084,7177,106,22461,30828,80222,133127,211851,309,441216,15707,2006-01-01,0.7285908913974309,0.0386012715712988,0.000291942390035,7174,Winter
920,PDX,"Portland, OR: Portland International",2006/01,1,January,2006,346,326,300,3,19,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",13,35,992,3,3519,4549,14719,17448,9423,55,42972,1327,2006-01-01,0.7735766102440097,0.0083534842822598,0.000659485601231,994,Winter
921,PHL,"Philadelphia, PA: Philadelphia International",2006/01,1,January,2006,374,489,1386,4,144,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",13,234,2399,50,6459,9142,18512,35925,84762,105,154422,15118,2006-01-01,0.7065193611901116,0.0310654123824108,0.0004375410194705,2397,Winter
922,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",2006/01,1,January,2006,815,972,644,8,49,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",15,236,2489,20,15465,18210,37980,47345,19094,282,107860,3159,2006-01-01,0.8492586490939045,0.0140582097748489,0.000439319055464,2488,Winter
923,SAN,"San Diego, CA: San Diego International",2006/01,1,January,2006,465,435,303,3,44,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",15,105,1251,52,6190,7598,19616,23615,10164,53,55793,2345,2006-01-01,0.8146880758094235,0.0206633324559094,0.0003948407475651,1250,Winter
924,SEA,"Seattle, WA: Seattle/Tacoma International",2006/01,1,January,2006,654,728,795,10,38,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",13,142,2226,16,6039,8423,32940,43663,24221,315,103481,2342,2006-01-01,0.7169654517392853,0.018758162174997,0.0011872254541137,2225,Winter
925,SFO,"San Francisco, CA: San Francisco International",2006/01,1,January,2006,889,533,1205,7,60,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",14,216,2693,19,7799,10727,42563,35127,58969,253,140948,4036,2006-01-01,0.7270439078959634,0.0219073366272023,0.0006525589633634,2694,Winter
926,SLC,"Salt Lake City, UT: Salt Lake City International",2006/01,1,January,2006,795,587,455,11,109,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",13,104,1954,3,9362,11423,35048,27085,12964,251,80591,5243,2006-01-01,0.8195745425895123,0.0093670664448918,0.0009629694476057,1957,Winter
927,TPA,"Tampa, FL: Tampa International",2006/01,1,January,2006,368,450,348,3,38,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,29,1209,2,5113,6353,17643,29198,10617,91,60161,2612,2006-01-01,0.8048166220683142,0.0048795844482921,0.0004722178498347,1207,Winter
928,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2006/02,2,Febuary,2006,1352,1427,4880,9,342,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",13,644,8013,26,21755,30438,91889,84771,234197,412,433210,21941,2006-02-01,0.7147315855181023,0.0220119587357907,0.0002956830277942,8010,Winter
929,BOS,"Boston, MA: Logan International",2006/02,2,Febuary,2006,469,661,941,7,80,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",13,501,2155,6,7259,9921,27935,40964,38536,174,114990,7381,2006-02-01,0.7316802741659107,0.0511037193831267,0.0007055740348755,2158,Winter
930,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2006/02,2,Febuary,2006,358,628,239,7,49,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",14,178,1281,7,6450,7916,15878,33836,7593,277,61268,3684,2006-02-01,0.8148054573016675,0.0233703890853966,0.0008842849924204,1281,Winter
931,CLT,"Charlotte, NC: Charlotte Douglas International",2006/02,2,Febuary,2006,438,500,470,3,53,"American Airlines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",11,160,1464,2,7204,8830,17351,26411,12673,206,59945,3304,2006-02-01,0.8158550396375991,0.0183465458663646,0.0003397508493771,1464,Winter
932,DCA,"Washington, DC: Ronald Reagan Washington National",2006/02,2,Febuary,2006,351,360,364,2,58,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",15,308,1136,7,6186,7637,18394,18838,10677,53,52097,4135,2006-02-01,0.8100039282440749,0.0412465627864344,0.0002618829383265,1135,Winter
933,DEN,"Denver, CO: Denver International",2006/02,2,Febuary,2006,1147,1148,1423,10,113,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Northwest Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",15,206,3839,11,12695,16751,61140,71227,49770,491,189747,7119,2006-02-01,0.7578652020774879,0.0129544504805683,0.0005969792848188,3841,Winter
934,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2006/02,2,Febuary,2006,824,1920,1824,9,190,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",15,625,4768,43,17367,22803,61049,116674,62592,312,252633,12006,2006-02-01,0.7616103144323115,0.0292943910888918,0.0003946849098802,4767,Winter
935,DTW,"Detroit, MI: Detroit Metro Wayne County",2006/02,2,Febuary,2006,531,517,622,5,89,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",15,188,1766,7,7331,9292,30019,27633,17941,188,81457,5676,2006-02-01,0.788958243650452,0.020985794231597,0.0005380972879896,1764,Winter
936,EWR,"Newark, NJ: Newark Liberty International",2006/02,2,Febuary,2006,323,708,2676,5,144,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",12,693,3854,18,7100,11665,23029,45608,149804,330,231519,12748,2006-02-01,0.6086583797685383,0.0609515645092156,0.0004286326618088,3856,Winter
937,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2006/02,2,Febuary,2006,362,439,411,3,45,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,94,1257,10,4371,5732,20025,28213,17401,117,69260,3504,2006-02-01,0.7625610607117934,0.0181437543614794,0.000523377529658,1260,Winter
938,IAD,"Washington, DC: Washington Dulles International",2006/02,2,Febuary,2006,389,560,248,6,32,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",14,283,1233,23,5539,7078,24596,36910,8615,260,72634,2253,2006-02-01,0.782565696524442,0.0432325515682396,0.0008476970895733,1235,Winter
939,IAH,"Houston, TX: George Bush Intercontinental/Houston",2006/02,2,Febuary,2006,570,1023,2012,29,103,"American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",12,169,3737,93,12352,16351,36460,52361,71485,2755,172363,9302,2006-02-01,0.7554278025808819,0.0160234848021527,0.0017735918292459,3737,Winter
940,JFK,"New York, NY: John F. Kennedy International",2006/02,2,Febuary,2006,438,808,556,11,58,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",12,334,1871,17,5272,7494,24574,50940,22493,280,109963,11676,2006-02-01,0.7034961302375233,0.0468374699759807,0.0014678409394182,1871,Winter
941,LAS,"Las Vegas, NV: McCarran International",2006/02,2,Febuary,2006,760,1318,1462,7,64,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",15,94,3611,41,9838,13584,38347,70983,55425,230,169724,4739,2006-02-01,0.7242343934040048,0.0099381625441696,0.0005153121319199,3611,Winter
942,LAX,"Los Angeles, CA: Los Angeles International",2006/02,2,Febuary,2006,1158,1232,1543,10,101,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,Northwest Airlines Inc.,SkyWest Airlines Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",16,283,4044,40,13007,17374,54842,68187,60174,467,190425,6755,2006-02-01,0.7486474041671463,0.0185909980430528,0.0005755726948313,4044,Winter
943,LGA,"New York, NY: LaGuardia",2006/02,2,Febuary,2006,361,567,1827,3,145,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",15,640,2900,16,6365,9921,22483,39261,88547,75,159104,8738,2006-02-01,0.6415683902832375,0.0661223666969055,0.0003023888720895,2903,Winter
944,MCO,"Orlando, FL: Orlando International",2006/02,2,Febuary,2006,520,651,639,5,70,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",16,121,1887,18,7347,9373,28179,38041,21370,187,92323,4546,2006-02-01,0.7838472207404247,0.0148298303638109,0.0005334471353888,1885,Winter
945,MDW,"Chicago, IL: Chicago Midway International",2006/02,2,Febuary,2006,353,625,462,3,56,"American Airlines Inc.,Continental Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,ATA Airlines d/b/a ATA,United Air Lines Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",13,121,1500,27,5834,7482,15772,35127,16776,125,71379,3579,2006-02-01,0.7797380379577653,0.0197808072707832,0.0004009623095429,1499,Winter
946,MIA,"Miami, FL: Miami International",2006/02,2,Febuary,2006,296,302,516,3,59,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Northwest Airlines Inc.,Comair Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.",11,93,1175,5,4139,5412,17324,19030,17957,119,58401,3971,2006-02-01,0.7647819660014782,0.0181079083518107,0.0005543237250554,1176,Winter
