,Airport.Code,Airport.Name,Time.Label,Time.Month,Time.Month Name,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Carriers.Names,Statistics.Carriers.Total,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Diverted,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Security,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather,Time.Datetime,Proportions.Flights.On Time,Proportions.Flights.Cancelled or Diverted,Proportions.Flights.Security Delays,Statistics.# of Delays.Total,Time.Season
2380,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2010/04,4,April,2010,324,536,222,1,30,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",12,19,1115,37,7443,8614,15291,27073,8455,18,53650,2813,2010-04-01,0.864058509403297,0.0065010448107731,0.0001160900859066,1113,Spring
2381,CLT,"Charlotte, NC: Charlotte Douglas International",2010/04,4,April,2010,297,276,353,5,30,"Pinnacle Airlines Inc.,American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",13,42,958,12,8734,9746,17088,14727,10764,148,44634,1907,2010-04-01,0.8961625282167043,0.0055407346603734,0.0005130309870716,961,Spring
2382,DCA,"Washington, DC: Ronald Reagan Washington National",2010/04,4,April,2010,332,207,211,3,21,"Pinnacle Airlines Inc.,American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.",12,60,774,10,5639,6483,16567,10748,6398,100,35413,1600,2010-04-01,0.8698133580132654,0.0107974703069566,0.0004627487274409,774,Spring
2383,DEN,"Denver, CO: Denver International",2010/04,4,April,2010,588,1053,816,11,70,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Comair Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",13,154,2537,46,16322,19059,33097,56564,28026,350,122726,4689,2010-04-01,0.8563933050002623,0.0104937299963271,0.0005771551497979,2538,Spring
2384,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2010/04,4,April,2010,676,1093,779,5,119,"Pinnacle Airlines Inc.,American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",14,159,2672,35,19305,22171,50996,60606,26092,104,145144,7346,2010-04-01,0.8707320373460827,0.0087501691398673,0.0002255198231924,2672,Spring
2385,DTW,"Detroit, MI: Detroit Metro Wayne County",2010/04,4,April,2010,636,582,689,7,21,"Pinnacle Airlines Inc.,American Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",15,91,1936,9,11516,13552,44477,31168,20226,175,97571,1525,2010-04-01,0.8497638724911453,0.0073789846517119,0.0005165289256198,1935,Spring
2386,EWR,"Newark, NJ: Newark Liberty International",2010/04,4,April,2010,257,344,1083,6,37,"Pinnacle Airlines Inc.,American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",12,45,1724,21,7878,9668,17273,20119,46027,248,85664,1997,2010-04-01,0.8148531237070749,0.0068266446007447,0.0006206040546131,1727,Spring
2387,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",2010/04,4,April,2010,281,279,256,2,18,"American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,Comair Inc.,US Airways Inc.,Southwest Airlines Co.",10,12,838,19,4658,5527,13969,15863,9342,44,40580,1362,2010-04-01,0.8427718472950968,0.0056088293830287,0.0003618599601954,836,Spring
2388,IAD,"Washington, DC: Washington Dulles International",2010/04,4,April,2010,235,266,191,4,13,"Pinnacle Airlines Inc.,American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Atlantic Southeast Airlines,AirTran Airways Corporation,Comair Inc.,United Air Lines Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",11,37,710,12,5486,6245,13417,15787,6817,169,36926,736,2010-04-01,0.8784627702161729,0.0078462770216172,0.0006405124099279,709,Spring
2389,IAH,"Houston, TX: George Bush Intercontinental/Houston",2010/04,4,April,2010,384,534,1186,8,30,"Pinnacle Airlines Inc.,American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,American Eagle Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",14,21,2144,14,12602,14781,21376,24381,32244,232,80296,2063,2010-04-01,0.8525810161694066,0.0023679047425749,0.0005412353697314,2142,Spring
2390,JFK,"New York, NY: John F. Kennedy International",2010/04,4,April,2010,383,292,723,6,16,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Mesa Airlines Inc.",9,79,1419,34,7729,9261,28583,17766,32913,234,80776,1280,2010-04-01,0.8345750998812224,0.012201706079257,0.0006478781988986,1420,Spring
2391,LAS,"Las Vegas, NV: McCarran International",2010/04,4,April,2010,502,642,440,8,39,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",13,56,1634,34,10350,12074,24513,31210,13924,325,73414,3442,2010-04-01,0.8572138479377174,0.0074540334603279,0.0006625807520291,1631,Spring
2392,LAX,"Los Angeles, CA: Los Angeles International",2010/04,4,April,2010,688,807,617,15,39,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,Hawaiian Airlines Inc.,American Eagle Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,Mesa Airlines Inc.",14,118,2164,19,14021,16322,36772,45893,18479,384,103815,2287,2010-04-01,0.8590246293346404,0.008393579218233,0.0009190050238941,2166,Spring
2393,LGA,"New York, NY: LaGuardia",2010/04,4,April,2010,356,266,614,2,32,"Pinnacle Airlines Inc.,American Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Comair Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",15,77,1271,19,7256,8623,20586,14809,22271,52,59536,1818,2010-04-01,0.8414704859097761,0.0111330163516177,0.0002319378406587,1270,Spring
2394,MCO,"Orlando, FL: Orlando International",2010/04,4,April,2010,476,431,380,9,26,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.",11,26,1321,17,9184,10548,24270,20477,12469,212,59086,1658,2010-04-01,0.8706863860447478,0.004076602199469,0.0008532423208191,1322,Spring
2395,MDW,"Chicago, IL: Chicago Midway International",2010/04,4,April,2010,313,427,157,2,26,"Pinnacle Airlines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,Frontier Airlines Inc.,AirTran Airways Corporation,Comair Inc.,Southwest Airlines Co.",7,26,925,15,6155,7121,11984,20359,5374,82,39519,1720,2010-04-01,0.8643448953798624,0.0057576183120348,0.0002808594298553,925,Spring
2396,MIA,"Miami, FL: Miami International",2010/04,4,April,2010,357,429,353,2,21,"American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.",9,63,1163,34,4527,5787,25330,25042,12825,60,64395,1138,2010-04-01,0.7822706065318819,0.0167617072749265,0.0003456022118541,1162,Spring
2397,MSP,"Minneapolis, MN: Minneapolis-St Paul International",2010/04,4,April,2010,446,414,570,0,24,"Pinnacle Airlines Inc.,American Airlines Inc.,Alaska Airlines Inc.,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,AirTran Airways Corporation,American Eagle Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.,ExpressJet Airlines Inc.",14,61,1454,12,8185,9712,28723,19915,15996,10,65960,1316,2010-04-01,0.8427718286655683,0.0075164744645799,0.0,1454,Spring
2398,ORD,"Chicago, IL: Chicago O'Hare International",2010/04,4,April,2010,708,1358,2185,8,67,"Pinnacle Airlines Inc.,American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Atlantic Southeast Airlines,American Eagle Airlines Inc.,Comair Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,ExpressJet Airlines Inc.,Mesa Airlines Inc.",14,389,4323,28,21014,25754,50594,86457,143513,304,287075,6207,2010-04-01,0.8159509202453987,0.0161916595480313,0.0003106313582356,4326,Spring
2399,PDX,"Portland, OR: Portland International",2010/04,4,April,2010,160,175,120,1,13,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Continental Air Lines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",11,16,471,1,3735,4223,6924,9216,3273,67,20194,714,2010-04-01,0.8844423395690267,0.0040255742363248,0.0002367984844896,469,Spring
